,Job_Title,Job_Type,Company,Location,Remote,Salary,Summary
59,Business Analyst,Permanent,SAIT,"Calgary, AB",False,6666.67,"The Finance department loves when the math balances out — so we’re looking to add to our team. If you have a nose for numbers and believe your skills and passion match our requirements, you will have our undivided attention and we want to meet you. The Opportunity The Business Solutions team in the Finance department bridges the gap between business needs and technical solutions. This team is responsible for various finance integrated systems used across the institution. Reporting to the Supervisor, Business Solutions, Finance, you will work closely with the other Business Analysts and other stakeholders across the institution to provide both technical and business process support for the Banner ERP and all other technical systems both used and supported within the department. You will work with leaders in the department to refine and enhance current processes and assist in the development of a technology plan for the Finance department. This position will be the main support for the Banner ERP Finance module, our banking applications and integrations, the feeds from other modules at SAIT (employee, student, and A&D). Expect to be a contributing member of fast paced and exciting projects in the Finance department. Among other support related activities, this role will focus on troubleshooting any issues, documentation, training, support integrated systems reconciliation with the Finance ledgers, and all of this while identifying areas for process improvement and system enhancement. The Role Business Analysis Planning and Monitoring Plan stakeholder engagement sessions. Identify the right people to get the job done. Plan and document the ongoing management of business requirements in the department. Identify areas for improvement in the department. Represent the Finance department in discussions with Information Technology Services (ITS) with respect to implementation of additional functionality and modules within Banner and integrated applications. Support the configuration and enhancement of Ellucian Banner and all other systems to support the goals and processes of the department. Elicitation and Collaboration Build and maintain collaborative working relationships with key business owners, Banner Systems Analysts in ITS, and Business Analysts in other Banner functional areas. Collaborate with ITS and in other departments for overall improvements and enhancements to business processes and configuration of Banner. Coordinate with owners of other Finance systems to develop knowledge of systems and understanding of integrations with Banner. Contribute to the development of Standard Operating Procedures (SOPs), quick reference guides (QRGs), and other supporting aides for staff. Collaborate with process owners inside and outside of the department to gather business requirements and understand challenges for use in design sessions. Requirements Life Cycle Management Analyze business and user needs, documenting requirements and revising existing system logic difficulties as necessary. Review system updates and assist with fit/gap analysis, make recommendations on updates that will benefit business processes. Strategy Analysis Monitor Banner provider (Ellucian) website (Banner Hub) for releases notes and system patches while networking with other Banner User Institutions. Provide recommendations for enhancements and improvements based on this information. Research and resolve difficult or technical problems presented by using knowledge of common problems and of department functions. End-to-end knowledge of Accounts Receivable critical business processes, dependencies, and related risks. Troubleshoot problems and suggest solutions; resolve routing questions and problems and refer more complex issues to higher levels. Assist in bringing maturity and rigor to the department’s process, data, and reporting. Requirements Analysis and Design Definition Recommend and participate in the development of new procedures and policies related to operations of the Finance department. Contribute to the development and training staff during the roll-out of new systems and processes. Assist in the documentation and design of specifications for reports and dashboard that support business processes and decision making. Solution Evaluation Support end users to perform key business operations in Banner Production environment and test environments. Perform system testing for new solutions, defect resolution and upgrades. Examine technical solution designs with Information Technology Services (ITS) and contribute to the design of technical solutions to support the business needs. Qualifications Minimum Post-secondary degree or diploma in Information Systems, Technology, or Business 2 or more years of direct experience with financial systems. Preference will be given to candidates with both business and technical Finance module ERP experience. Experience with data management, business process improvement or software development an asset. Experience as a Business Analyst in a Project Management lifecycle Demonstrated familiarity with project management and change management principles. Strong communication skills – written and verbal Strong relationship building and relationship management skills Ability to stay calm and focused while on complex projects with tight timelines Preferred 5 or more years of direct experience with financial systems. Preference will be given to candidates with both business and technical Finance module ERP experience. Business Analyst designation or certificate is desirable Advanced understanding of systems analysis, ERP management of Ellucian Banner products within a post-secondary. Job Classification: Business Analyst # of positions: 1 Salary Range: $75,000 - $85,000 Posting End Date: Until suitable candidate found About SAIT SAIT is a global leader in applied education. Named one of Alberta’s Top Employers, we offer the chance to work with a purpose — preparing the next generation of industry leaders, entrepreneurs, advocates and explorers. Building on our 100+ year history, we’re looking for innovative, bold and collaborative employees who embrace change and deliver world-class customer experiences. Your future starts now at SAIT. Equity, diversity and inclusion (EDI) is essential to achieving SAIT’s vision to be a global leader in applied education. It creates the conditions for a healthy campus where everyone feels welcome, respected and empowered to succeed. SAIT values fairness, shared accountability and the importance of representation. The institution expects a commitment from its students and employees to continuously develop an equitable and inclusive mindset that celebrates diverse experiences and perspectives. Learn more about EDI at SAIT. For information on the collection and use of your personal information, please see our Privacy Policy. BEWARE FALSE POSTINGS AND RECRUITING OFFERS SAIT has been made aware of individuals or organizations posing as SAIT using false postings to attract job seekers and collect personal information. Please be aware that SAIT will never request sensitive personal information beyond what is required for an application. Career opportunities at SAIT will always be posted on the SAIT career site and we encourage applicants to only apply directly through there. When your application is completed you will receive an email confirmation, if you did not receive one please check your junk mail or try applying through the SAIT career page again."
60,"Data Analyst, Client Success Management",Full-time,Benevity,"Hybrid Calgary, AB",True,,"Meet Benevity Benevity's award-winning corporate purpose software empowers companies and their people to take social action on the issues and causes they care about. Through giving, volunteering, grantmaking and positive actions, we help 650+ clients (and counting!) build better cultures and engage their employees and customers to create greater social and business impact. We're also one of the first B-Corps in Canada, meaning we're as committed to purpose as we are to profits. We are seeking a highly engaged Data Analyst, Client Success Management to support a dynamic, evolving and rapidly growing Client Success Management Team as we scale. In this full-time position, you will report to the Manager, Revenue Analytics with our Client Success Management Leadership team as your main stakeholders. You will also work cross-functionally and build relationships within the ""Go To Market"" organization (Sales, Marketing, and Customer Success) as well as Finance. You will act as a business partner to the Client Success Management leadership team, working cross-functionally across the client journey to surface insights that can help improve the client experience. You will improve operating processes and accomplish high-priority projects. The most important attributes for success include a deep curiosity rooted in data combined with the ability to partner across a disparate set of stakeholders. What you will do: Develop deep understanding of the metrics that improve Client Success and build the analytics around it with the goal of driving insights to actions. Partner with the Client Success Management leadership team to determine and define requirements as well as project scope. Ensure data quality across multiple systems of record and flag areas of continuous improvement for our data lake (ea. Salesforce, Gainsight, …) Own the relationship with the Client Success Management leadership team, be the subject matter expert, and address deep-dive questions with follow up insights and recommended actions. Own and champion high impact projects across the Client Success Management Organization. Own various special data-focused projects to support planning/forecasting, and ongoing operations. Support day-to-day inquiries from the team, providing prompt and efficient resolution to a wide range of issues and developing operational processes. What you bring: This position requires a Bachelors' degree in finance, accounting, business administration or related field and/or minimum of 5 years' experience in data analysis, reporting and process improvement preferably in SaaS operations Knowledge of data and data manipulation in typical SaaS products such as Salesforce, and traditional spreadsheet software such as Excel Experience using analytical frameworks, data, and tools to work on complex projects, facilitate alignment across multiple senior stakeholders, and reach, actionable answers to challenging and ambiguous problems. Well-developed analytical, problem solving, and organizational skills are required Prior Salesforce and Tableau experience will be preferred Prior Adaptive or similar Finance Reporting tool will be a plus Comfort and experience working with very large, complex data sets is a must Ability to make independent decisions, manage projects and present findings Results-oriented individual who is conscientious of their quality of work and has ability to work across the organization Strong personal and interactive skills with all levels in the organization Ability to envision the ""big picture"" while managing the details and focusing on multiple objectives or assignments Promotes teamwork and cooperation to resolve conflicts and ensure achievement of organizational objectives Responds to shifting priorities while maintaining progress of regularly scheduled work Ability to thrive in a fast-paced, agile environment Demonstrated organizational skills with the ability to set priorities, meet deadlines, and work in a multi-disciplinary team environment Manages multiple projects at once while paying strict attention to detail Discover your purpose at work If you're a passionate problem solver and want to put your skills to use helping the world's coolest companies do more good in the world, Benevity is the place for you. You'll be part of a team with a 99% client retention rate — the highest in the SaaS space — so you can learn and grow with the best. You'll get that competitive salary, flexible health benefits, mental health support, a generous bonus program, stock options, a hybrid office/home work environment and so much more. Plus, Benevity's very own MyGoodness program inspires our people to donate, volunteer and take action for the causes and issues they care about. If you want meaning, purpose and growth, you belong at Benevity. Join a company where DEIB isn't a buzzword The diverse backgrounds, experiences, skills and passions of our people make it possible for us to keep innovating as the market leader in our space. Diversity, Equity, Inclusion and Belonging are part of Benevity's DNA. You'll see the impact of our massive investment in DEIB daily—from our Black Employee Network making space for us to have difficult conversations to our Pride events and the exceptional diversity on our leadership and tech teams. We strive to build a strong culture of Belonging so that every Benevity-ite feels included and can thrive as their authentic selves — in a place where everyone has an equitable opportunity to shine! Here at Benevity, we are committed to creating a culture of belonging and that starts with a fair and accessible hiring process. Any candidates with disabilities who may require accommodations throughout the hiring or assessment process, are encouraged to reach out to accommodations@benevity.com. If you want to feel seen, heard and celebrated, you belong at Benevity."
61,"Data Analysts - Pipeline Inspection (MFL/GEO), All Levels",Full-time,Onstream Pipeline Inspection Services Inc.,"Temporarily Calgary, AB",True,,"Onstream Pipeline Inspection Services Inc is a growing provider of inline inspection services to pipeline operators in Canada and the USA. Due to continued growth, Onstream is now accepting applications for the positions of Data Analysts (ILI, All Levels), based in Calgary, AB. The successful candidates will show a progressive work history of ILI Analysis along with having an analytical background, ability to learn/use proprietary software, and apply technical concepts quickly. This position requires the analysis of data recorded by Onstream Pipeline’s MFL/Caliper/IMU in-line inspection (ILI) tools, correlation to verification measurements, and final report generation. Why Join Us: Health Benefits Matching RRSP Plan Onsite Gym (Free to use) We're Calgary Transit Accessible (Route 148 West) Paid Vacation and Personal Time Off Growth opportunities within Key Responsibilities and Duties: Perform preliminary data quality assessments. Process and interpret datasets for acceptance. Interpret MFL and Geometry pipeline inspection data to determine defects location and depth on oil and gas pipelines. Correlate analysis results to inspection data from previous runs. Organize and produce reports of ILI tool analysis results as per client requirements. Interface with clients via telephone, email and in person. Communicate analysis findings and provide support for excavations and measurement results. Work in a team environment collaborating and sharing knowledge and experiences. Education / Experience / Certifications: Degree or diploma in a related field; or equivalent combination of experience and education Level 1/2/3 MFL/GEO historical certification 3+ years progressive Data Analysis experience in an inline inspection environment (preferred), in MFL, Caliper, or Inertial analysis capacity * Experience and/or training in non-destructive testing (NDT) is an Asset Knowledge of pipeline safety and compliance regulations (AER/NEB/PHMSA) is required Skill Required: Self Driven. Ability to work diligently with minimal supervision Strong Computer Skills (MS Excel, Word, Adobe Acrobat) Ability to complete tasks fully in a timely and quality manner Ability to maintain poise, quality of work and efficiency during busy times Strong analytical and interpretive skills Ability to evaluate and prioritize tasks Ability to maintain concentration throughout work day Strong social skills for communicating with co-workers and clients Professional personal presentation Willingness to work overtime during busy times Thank you for submitting your Application! Successful candidates will need to pass pre-employment Background Screening. Please note that only those selected for consideration will be contacted. Job Types: Full-time, Permanent Additional pay: Overtime pay Benefits: Casual dress Dental care Disability insurance Employee assistance program Extended health care Life insurance On-site gym On-site parking Paid time off RRSP match Vision care Work from home Schedule: 8 hour shift Monday to Friday Overtime COVID-19 considerations:Following all local protocols Education: Bachelor's Degree (preferred) Experience: valid or historical ILI Certification (Level 1, 2, or 3): 1 year (preferred) ANSI/ANT ILI-PQ-2017 Standards: 1 year (preferred) API 1163 Standards: 1 year (preferred) ILI Data Analysis: 1 year (preferred) Language: English (preferred)"
62,Business Analyst,Fixed term contract,Agilus Work Solutions,"Calgary, AB",False,,"Seeking Business Analyst for a 11-month contract with possibility of extension Agilus is recruiting for a Business Analyst in the Oil and gas industry in Calgary, Alberta. Are you an experienced Business Analyst looking for your next opportunity? Do you have strong cross functional BA skills? Our oil and gas client is looking for an experienced Business Analyst for a full time, 11-month contract with possibility of extension. If this sounds like something that you would be great at, please apply before June 8th Responsibilities: Conducts own analysis to help the business function more effectively through analytics Develops and writes business process spec or can plan Analyze business practice providing expertise to senior management Can be a project lead and is involved in matters that could have strategic importance Provide regulatory reporting and master planning Drive out business process optimization Successful candidates will have: University degree in relevant discipline Minimum 4 years of experience in a similar role Must have strong Excel knowledge (V look ups, formulas knowledge is perfect) Power BI , background in gas operations, technical writing background and SAP would be an asset Strong analytical skills, data analytics (data heavy job, creating spreadsheets, clean data sets, a lot of reporting) Strong fundamental BA skills but can be cross functional Technical Writer knowledge would be an asset Total rewards: Competitive salary Central location, with excellent access to transit Opportunity to work with an Industry Leader Opportunity for extension Interested? Please apply directly online by email ymoore@agilus.ca Agilus would like to thank all candidates for their interest in this opportunity. Due to the volume of resumes we receive; we may only be able to respond directly to those candidates being selected for an interview. We encourage you to visit agilus.ca regularly or subscribe to our email alerts at agilus.ca/Account/Register as new exciting employment opportunities become available daily. We value a diverse workplace. Agilus Work Solutions is committed to employ people from diverse backgrounds and we actively demonstrate inclusiveness through fair, equitable and accessible hiring practices. We recognize the strength that comes from different experiences, backgrounds and perspectives and welcome candidates who identify as visible minorities, Indigenous people, persons with disabilities, and persons within the LGBTQ+ community. We feel it is important as an organization that all people have access and opportunity to be employed, to be valued and to be respected. Accommodations for job applicants with disabilities will be provided upon request during the recruitment, assessment, selection and placement process. Alternative format available on Request. AG330-Calgary Pro/LI"
63,"Reporting Analyst, National Business Sales Reporting",Full-time,TELUS,"Calgary, AB",False,,"Location: Calgary, AB, CA Edmonton, AB, CA Toronto, ON, CA Vancouver, British Columbia, CA Req ID: 26386 Jobs by Category: Sales and Marketing Job Function: Planning and Analysis Status: Full Time Schedule: Regular Description Join our team We are currently seeking a motivated individual that is able to combine his/her strong technical background and business acumen to help us create a critical link between data analysis and business intelligence. Our team is known within TELUS as a fast-paced, entrepreneurial environment and a great place to learn and develop. We have a culture of collaboration, recognition, and high-performance. Simply put, if you're bright, ambitious and eager for a challenge, this is the place to be. Here’s the impact you’ll make and what we’ll accomplish together With your help we will provide advanced analytics, insights and unbiased recommendations to enable our stakeholders and leadership teams to make informed business decisions. Here's how Help propel our business forward by creating meaningful understanding of business drivers, issues, and opportunities while enjoying a high degree of autonomy Take the initiative to constantly and consistently apply your analytical and relationship skills to support TBS Support data-driven decision-making by enabling actionable insights from disparate data sources and implementing key innovation opportunities for stakeholders Implement best-in-class end-to-end analytical processes to drive operational efficiencies and improved decision-making Have the opportunity to showcase your ability to transform data into true business insight Mentor, coach and provide expert technical guidance to develop junior team members #LI-REMOTE Qualifications Advanced background in SQL, Python, Tableau or Domo with 3+ years of working experience Proven ability to breakdown and simplify complex, ambiguous problems Understanding of telecom business models, measures and metrics Best in class data presentation skills Naturally curious with a strong ability to work through obstacles Embodies ownership, initiative and is self-directed; able to effectively manage ambiguity and change Highly skilled in stakeholder communication and management, building relationships to establish cross functional alignment for projects and initiatives Expert storytelling in presenting to diverse audiences while tailoring your message to drive business outcomes Ability to provide structured recommendations based off of analytics Ability to manage projects from infancy to completion Great-to-haves University degree and/or 5-6 years of equivalent combination of experience and education Fundamental understanding of Data Science techniques and its strategic impact to business Project management designation"
64,Executive Market Analyst,,Western Financial Group,"Calgary, AB",False,,"We are one of Canada’s Top Employer, Join Us Use your analytical and organizational expertise to support Executives in reviewing market trends as it pertains to the insurance industry. Executive Market Analyst In this role, reporting to the Chief Strategy Officer you will work closely with our Executive Team to support strategic initiatives through providing market and trend analysis related to the insurance industry as well as organizing and attending strategic partner meetings as needed Here is what a typical day looks like Support the preparation of Board Reports, presentations and support Partner Meetings through comprehensive analytics, recommendations, and formal Presentation creation Conducting comparative analysis of current and future Macro/Micro trends for the Organization, the Industry, and the broader economy Working effectively with various stakeholders to gather requirements for various projects Using a variety of methods, solicit necessary requirements from business units and end users Draft summaries with clear and concise requirements, documenting deliverables from involved parties Develop a holistic view of operational and project performance (qualitative and quantitative) through data analysis and stakeholder engagement Identify KPIs to demonstrate project/program health to highlight challenges and opportunities Support Executive team in writing project specific business cases; ensure alignment of business and project needs through risk identification, analysis, and strategies, including prioritization and validation The value you bring Successful completion of a bachelor’s Degree in Business Administration, Accounting, Finance, or equivalent Minimum 5 years progressive experience in a similar role Strong preference shown to insurance industry background Experience interpreting and analyzing outliers and trends in reported metrics Ability in defining, designing, developing and documenting KPI’s for presentation of results to Executive Leaders Ability to draw insights from various Data sources Ability to work autonomously and getting things done Demonstrated Project Management skills Advanced experience with MS Office; with an emphasis on Excel and PowerPoint CPA and/or CBV or have relevant work experience Hours: 37.5 hours/week Location: High River, Alberta Job Requisition #: 74765 Western Financial Group – Top 100 Canadian Employer Our people make us who we are and we’re thankful to have been recognized as a Top Employer across Canada! We are looking for great people who share our values and want to share their unique skills with us. Western is on a mission to exceed customer expectations, and that starts with our people. Would you like to be part of our story? As one of Canada's top insurance brokers, Western creates security and provides customized insurance solutions to over 1 million Canadians. For over a century, we've secured our neighbours' future by staying true to our Guiding Principles of Truthfulness, Fairness, Value, and Loyalty. Health and Wellness At Western we take pride in providing programs that add value to our people’s lives – after all, they are our greatest asset! Eligible employees receive a competitive compensation package consisting of 3 weeks’ vacation, 14 paid wellness days, company matching investment and savings programs, and 100% employer-paid group benefits, including a health care spending account"
65,Business Intelligence Analyst,Full-time,Peace Hills Insurance,"Edmonton, AB",False,,"We have a fulltime position available for a Business Intelligence Analyst in our Edmonton head office. Reporting to the Strategic Business Intelligence Manager, the successful individual will apply strong business acumen and analytical skills to explore and examine information, question existing assumptions and processes, and communicate informed conclusions and recommendations in a comprehensive format to a wide audience. As the successful candidate, you will be a champion story teller that has the ability to communicate in both technical and business terms. The terms detail oriented, an i_ndependent thinker_ and an ‘out of the box’ problem solver describe you well. You are passionate about turning data into information, information into insight, and insight into business decisions. In order to be successful, the candidate must be able to: · Design and develop complex datasets, reports and dashboards to support recurring business needs · Provide data visualization expertise that facilitates business understanding of outcomes and recommendations · Apply a variety of data science techniques and algorithms to build out complex models and data driven solutions · Critically evaluate information gathered from multiple data sources, reconcile conflicts or data quality issues and present them within the correct business context · Support information requests from inception to delivery, translating client requirements into self-service data products · Partner with business leaders to understand their information needs and deliver results that meet and exceed their requirements · Lead or coordinate small, informal team(s) to expedite completion of various projects · Contribute to developing business intelligence and data modelling standards and guidelines · Educate and train the business users with adopting the appropriate report or data product in meeting their needs Required Qualifications: · Bachelors degree or equivalent experience in business, mathematics, statistics, IT, economics, or related field with a focus on data analytics · 2+ years of experience in data analysis and reporting combined with strong statistical and analytical skills · Knowledge of data warehouse, data mart and database technologies, standards, and methodologies · Strong technical knowledge and experience with Power BI, SQL Server and Microsoft Excel · Experience with gathering and documenting business requirements · Demonstrated communication and presentation skills for an Executive audience · Technical knowledge and experience with Python, R, GIS software and the knowledge and experience to implement machine learning algorithms are an asset · Certified Business Intelligence Professional (CBIP) certification is an asset · Experience working in the insurance industry would also be an asset Working at Peace Hills Peace Hills understands that by reducing work-life struggles, individuals can enjoy a healthier lifestyle while improving productivity at work. Offering a collegial work environment and a work-life balance are just two of the ways we do this. We thank all applicants for their interest, however only those candidates shortlisted will be contacted. Job Types: Full-time, Permanent Schedule: Monday to Friday"
66,Business Intelligence Analyst,Full-time,ROBINSON,"Calgary, AB",True,,"We know what it means to put the customer first—our business is built upon a tradition of exceptional, individualized customer service. Our employees experience the excitement and satisfaction that comes from working for a successful, expanding company where every team member makes a difference and where initiative and hard work are valued and rewarded. We are confident that if you choose to work at ROBINSON, you will be taking your first steps towards a challenging, profitable, and satisfying career. Reporting to the Director, Data & Analytics, the BI Analyst will coordinate the collection and formalization of the organization's data. What you will do: Help the business ""connect the dots"" and understand ""the big picture"" Support various department leaders to create dashboards for analysis Work with the latest BI visualization tools and technologies Monitor, maintain and improve the entire organization's data visualization's tools Participate in data processing, conversion, and correction activities Participate in ongoing solution publication and validate concepts within different areas of the business Conduct, document and validate both requested analyses and technical specs Set up automatic data flows from various sources to Domo BI and Snowflake Create reports and dashboards using Domo About You: Proven skills in Visualization tools (Tableau, Looker, Power BI, etc.) 3+ years of hands-on experience working with Business Intelligence to deliver actionable data and analytics for business solutions Ability to leverage insights and opportunities from data and metrics to formulate recommendations and build strategies Experience designing and optimizing data flows for large volumes of data Experience developing data warehouses and in modeling and/or data analysis Good knowledge of automation and data management, data integration, and database development techniques (Snowflake, SQL, etc.) A self-starter who can manage multiple projects and priorities Proficiency with SQL and Python Experience or strong interest in machine learning and/or deep learning is a definite asset Experience with various business processes like finance, supply chain, or sales is considered an asset Knowledge of Domo BI and/or Snowflake would be considered an asset ROBINSON offers a competitive total rewards program including: An inclusive, fun and family-oriented work environment Monthly bonus opportunities Annual Profit Share Paid Wellness Days RRSP Matching Employee Referral Bonus Sabbatical Leave Tuition reimbursement Comprehensive benefits Training and promotion opportunities Family-owned ROBINSON is a leading Canadian distributor of plumbing, heating, electrical, and lighting products. Today, the company serves customers in the construction industry and retail home improvement markets through a network of 32 distribution warehouses and showrooms in British Columbia, Alberta, Saskatchewan, Manitoba, and Ontario. ROBINSON’s reputation as a growing company with a customer-service oriented culture continues to attract and retain top quality people and has earned it Platinum status among Canada’s Best Managed Companies. ROBINSON is committed to a diverse, inclusive, and respectful workplace. We strive to foster an environment that values our differences and believe in giving back to the communities in which we live and work. ROBINSON will provide accommodation for candidates with disabilities throughout our interview and selection process. Thank you to all interested candidates, only those selected for an interview will be contacted."
67,"Pricing Analyst- Analytics, Research & Pricing",Full-time,Alberta Blue Cross,"Edmonton, AB",False,,"Let’s impact lives for the better! Alberta Blue Cross® is Alberta based, not-for-profit and dedicated to delivering exceptional customer experience and community leadership. We’re committed to providing the best health coverage to over 1.8 million members and take an active role in promoting the wellness of all Albertans. We believe in what we do—and place trust in our employees to deliver our vision. Working at Alberta Blue Cross® means having a career where you’ll be recognized for your contributions. We value diversity, encourage our employees to maintain a healthy work-life balance and provide opportunities for training and career growth. OVERVIEW: Reporting to the Director of Analytics, Research & Pricing, the Pricing Analyst will be primarily responsible for supporting the broader CX and Marketing Team in the development and management of Group and Individual Products. The position is accountable for processing information requests pertaining to financial performance, modelling, compiling statistical information, investigating and solving data integrity issues, preparing reports and analyzing trend information. WHAT YOU WILL DO: Utilize in-depth knowledge of corporate data structures and reporting environments to produce pricing solutions, with the goal to provide quality information for fact-based decision making. Collaborate with various stakeholders to gather requirements, perform analysis and develop meaningful reporting. Develop and maintain a wide variety of business-critical financial models (daily, weekly, monthly and ad hoc to meet business requirements) using Excel, Access, SQL and Business Intelligence Tools. Collect, trend, analyze and report statistical data. Respond to incoming ad hoc pricing requests around new and existing products. Maintain an awareness of changing business needs and recommend enhancements to rating methodology for both quotations and renewal business. Analyze current processes and implement solutions to streamline and improve productivity. WHAT YOU WILL HAVE: Bachelor’s degree in quantitative discipline (i.e., Actuarial Science, Statistics, Economics, or Mathematics). Actuarial designation (FSA, FCAS, ASA, ACAS) would be considered an asset. Skilled in using database software (Access, SQL, Oracle or another server database platform). Strong knowledge of Microsoft Office, including Excel and Access is required. Understanding of benefit plans and Alberta Blue Cross products is preferred. Excellent analytical, organizational, interpersonal, and communication skills as well as attention to detail are required. Ability to interpret data and convert mathematical findings into pertinent business insights. Ability to multi-task and prioritize activities in a fast paced, rapidly changing environment. Ability and desire to work independently and communicate effectively at all levels in the organization. Demonstrated ability to contribute within a team environment. Alberta Blue Cross® is an inclusive employer committed to a workplace that reflects the diversity of the communities we serve. We empower and are advocates for our employees by welcoming, respecting and valuing their unique perspectives, backgrounds, and experiences. We offer a competitive salary and benefits package and the opportunity to work in an innovative, high-energy team-focused environment. This position will remain open until a suitable candidate is selected. If you have the qualifications we are looking for, apply online at careers.ab.bluecross.ca COVID-19 Vaccination Notice: Alberta Blue Cross has a COVID-19 Vaccination Policy that applies to all of its employees. As a condition of employment, successful job applicants will be asked to confirm their COVID-19 vaccination status and may be required to provide proof of a valid negative COVID-19 test or a valid exemption pursuant to applicable human rights law if not fully vaccinated."
68,"Analyst, Digital Advisory",Full-time,MNP,"Hybrid Edmonton, AB",True,,"What do you think of when you hear the name MNP? Most likely tax and accounting, but as one of Canada’s largest consulting organizations, we’re so much more! We’re also serious about technology. Make an impact with MNP Digital as an Analyst with the Alberta Digital Advisory team. This diverse team of tech-savvy problem solvers understands clients’ unique needs and embraces the possibilities technology brings to an evolving business landscape. As a trusted advisor, you’ll enable clients to anticipate, innovate and adapt to fast changing digital landscapes and customer preferences with a digital strategy that will drive meaningful results, create value, optimize performance, reduce costs, enhance growth and mitigate risk. At MNP Digital, we’re a team of highly skilled and creative thinkers that continuously support and learn from each other. We pride ourselves on translating our clients’ challenges into real results by leveraging technology – and that all starts with having the right people to deliver. We’ve created an environment where you’ll continuously grow, always have a voice and collaborate on work that’s meaningful and fulfilling. If you’re ready to take your career into your own hands, you’ve come to the right place. You Can Expect To: Collaborate with a dynamic team Contribute in a fast-paced environment Learn from our professionals Grow your abilities and your confidence Gain an understanding of MNP’s services, businesses and industry Tackle multifaceted problems Be challenged and exposed to a range of projects Have a flexible office and home work arrangement Have fun! Job Duties include: Consulting Services Design Help the team design service plans around client’s needs advertised or offered by potential clients by: Using previous proposals to create the base of a response, Checking our proposal content and formatting against client requests to ensure we meet and exceed their expectations and needs, and Helping ensure proposals are submitted in a timely and efficient manner. Engagement Planning Collaborate with the client engagement team prior to commencement of client work to discuss roles and responsibilities, risk areas, materiality, and deadlines. Monitor project timelines against targets, adjust where necessary, and advise clients of project status and seek clarification on discrepancies where applicable. Fulfill project management and coordination role, tracking project budgets, deliverables and scope. Conducting Business Analysis Assist in the delivery of Digital Advisory services from both a business perspective. Assist in the develop digital strategy and implementation roadmap, and Perform business analysis including: Gathering information by participating in the preparation and facilitation of interviews and focus groups, Preparing correspondence, technical reports, and surveys, Conducting detailed research, interpretation, and analysis of the data gathered, Analyze financial data and perform cost-benefit analysis, and Supporting the design, development, formatting, and proof-reading of the resultant reports, proposals, and presentations. Contribute Positively to MNP’s Workplace Culture Develop a thorough understanding of MNP’s services, businesses, and industry through experiential learning with clients. Contribute to the development of new ideas and approaches to improve work processes. Participate in a hybrid work environment that contributes to a balanced lifestyle and high standard of team wellness. Responsibilities Facilitate and run effective meetings Requirement elicitation from stakeholders via workshops Business process modeling of the current and to-be state Requirement analysis, defining all types of requirements to define the business need Requirements management and prioritization Organize and coordinate stakeholder engagement System integration analysis, including creating system interface specifications Data analysis and design, creating logical data models and specifying lookups Solution design and prototyping; creating user interface specifications Be familiar with standard BA techniques as defined in the BABOK Engage business stakeholders and write formal documentation such as business cases, requirements definition specifications, project glossaries, non-functional requirements specifications and communication plans Engage developers and solution implementer and write formal technical documentation such as request for proposals (RFP) test cases, technical specifications and technical models MyRewards@MNP More than a paycheque, MNP is proud to offer customized rewards for our team members. With a focus on health and wealth, we provide an extensive list of benefits that support our unique culture and foster work-life integration. Our MyRewards@MNP program offers benefits that allow you to thrive at work and outside of the office. Be rewarded with generous paid time off including 4 personal days, firm sponsored social events, a group pension plan with 4% matching contribution, voluntary savings products, bonus program eligibility, a wellness subsidy, health and dental benefits, mental health resources, exclusive access to perks and discounts, professional development assistance, learning opportunities through MNP University, a flexible ‘Dress For Your Day’ environment and more!"
69,"Business Analyst, Marketing",Full-time,Alberta Motor Association,"Edmonton, AB",False,,"AMA: YOU never MET A PROBLEM YOU COULDN’T SOLVE. Posted: 2022-05-30 Closing: When Filled Location: Edmonton South In fact, you don’t know if you’ve ever met a problem because you only meet opportunities. You love the thought of turning ideas into real applications. You’re always on the hunt for innovative new technologies that can help people work smarter not just faster. You have a knack for data and details, without losing sight of the big picture. You’ve got the skills to coordinate a project from start to finish; you work well with a broad group of people and communicate clearly every step of the way. WHAT MOVES YOU You’re kind of obsessed with finding simple solutions to complicated problems, and you love explaining them in an uncomplicated way that helps others see the possibilities too. When it comes to documenting processes, workflows and test scripts, you know the value of words and pictures and the importance of making sure everyone understands — even the technically-challenged people on the team. Your curiosity kicks into high gear when you talk to clients and end users because you’ve got to fully understand the business problem they are trying to solve before you can offer solutions. You handle even the tightest deadlines with a cool head and clear vision. You’ve always been passionate about how technology can help solve business problems. You enjoy being the middle man — the glue between the people that use a system and the technical team that builds it. You love to share thoughts and ideas — after all, you know that two heads are always better than one and you understand the real value of teamwork. WHAT YOU’VE DONE You have a college diploma in information technology, business or an equivalent. Even better, you’ll have BA certification. You have at least three years under your belt and are ready for you’re next big challenge. WHAT YOU’LL DO Report to the Associate Vice President, Digital Member Experience - Member and Travel Services. Gather, define and document business, financial and operational requirements. Research and propose processes or technology-based solutions to meet business needs. Help manage requests for new technology solutions or enhancements to existing technology. Analyze the effectiveness of existing systems and develop improvement strategies. Plan and coordinate technical/user testing, deployment, client/user acceptance and reporting. Lead or support projects. Please note, during the pandemic our Marketing and Analyst teams are working remotely from home. WHAT YOU'LL GET Competitive salary. Flexible benefits. Outstanding employer-paid Pension Plan. Great AMA discounts. Unlimited learning opportunities. Paid vacation and floater day. We thank all applicants for their interest; however, only those selected for an interview will be contacted."
